fldName,avg_lat,avg_lon,fldMainArea,status,hc_type
AASTA HANSTEEN,67.06148216666666,6.974710333333333,Norwegian sea,Producing,GAS
ALBUSKJELL,56.630309,3.001988,North sea,Shut down,GAS/CONDENSATE
ALVE,65.9769701,7.855486000000001,Norwegian sea,Producing,GAS/CONDENSATE
ALVE NORD,66.0065625,7.8170547500000005,Norwegian sea,Approved for production,OIL/GAS
ALVHEIM,59.548795363636366,2.002684008264463,North sea,Producing,OIL/GAS
ATLA,59.66187416666667,2.571326,North sea,Shut down,GAS/CONDENSATE
BALDER,59.22079484337349,2.4099688795180723,North sea,Producing,OIL
BAUGE,64.354287,7.46198925,Norwegian sea,Producing,OIL
BERLING,65.20337071428571,6.393845285714286,Norwegian sea,Approved for production,GAS/CONDENSATE
BESTLA,60.43199200000001,3.0329635454545456,North sea,Approved for production,OIL/GAS
BLANE,56.887519,2.476583,North sea,Producing,OIL
BRAGE,60.54394627941177,3.048910735294118,North sea,Producing,OIL
BREIDABLIKK,59.24745561666667,2.5917457166666664,North sea,Producing,OIL
BRYNHILD,57.4899187,2.3005013,North sea,Shut down,OIL
BYRDING,61.14235075,3.5447777499999997,North sea,Producing,OIL/GAS
BØYLA,59.34042947619047,1.831512619047619,North sea,Producing,OIL
COD,57.068263571428574,2.4357975714285716,North sea,Shut down,GAS/CONDENSATE
DRAUGEN,64.3392697111111,7.758105333333333,Norwegian sea,Producing,OIL
DUVA,61.402593857142854,4.067501,North sea,Producing,OIL/GAS
DVALIN,65.453351125,7.1535805,Norwegian sea,Producing,GAS
EDDA,56.466574538461536,3.106830384615385,North sea,Shut down,OIL
EDVARD GRIEG,58.84492592307692,2.252345435897436,North sea,Producing,OIL
EIRIN,58.644946,1.623714,North sea,Approved for production,GAS
EKOFISK,56.548410108481264,3.217340775147929,North sea,Producing,OIL
ELDFISK,56.39171038735178,3.2479503162055336,North sea,Producing,OIL
EMBLA,56.333084666666664,3.2479010555555554,North sea,Producing,OIL
ENOCH,58.641258,1.552464,North sea,Producing,OIL
FENJA,64.030411,6.750613250000001,Norwegian sea,Producing,OIL/GAS
FENRIS,56.7007158,3.1269324999999997,North sea,Approved for production,GAS/CONDENSATE
FLYNDRE,56.578219,2.641814,North sea,Shut down,OIL
FRAM,61.05007080952381,3.553231642857143,North sea,Producing,OIL/GAS
FRAM H-NORD,61.124635749999996,3.5402329999999997,North sea,Producing,OIL
FRIGG,59.891762246376814,2.0734886086956523,North sea,Shut down,GAS
FRØY,59.735123580645165,2.5613185161290324,North sea,Shut down,OIL
FULLA,60.00419066666666,2.3729156666666666,North sea,Approved for production,OIL/CONDENSATE
GAUPE,57.98602725,1.9253909999999999,North sea,Shut down,OIL/GAS
GIMLE,61.2203033,2.2810908999999997,North sea,Producing,OIL
GINA KROG,58.57109642424243,1.697710090909091,North sea,Producing,OIL/GAS
GJØA,61.366301279069766,3.9764090000000003,North sea,Producing,OIL/GAS
GLITNE,58.71062442857143,1.6582267857142858,North sea,Shut down,OIL
GOLIAT,71.2718570754717,22.277252981132076,Barents sea,Producing,OIL
GRANE,59.16524751941747,2.4870631262135925,North sea,Producing,OIL
GUDRUN,58.84604514285714,1.7448645,North sea,Producing,GAS/CONDENSATE
GULLFAKS,61.19669568857143,2.2169043,North sea,Producing,OIL
GULLFAKS SØR,61.09143256707318,2.137894445121951,North sea,Producing,OIL/GAS
GUNGNE,58.35427059999999,1.911281,North sea,Producing,GAS
