field,date,product,volume_net,volume_gross,unit,avg_lat,avg_lon,fldMainArea,status,hc_type
16/1-12 TROLDHAUGEN,2021-08-01,Oil,0.00653,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2021-09-01,Gas,0.00173,0.0025,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2021-09-01,Oil,0.02573,0.01007,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2021-10-01,Gas,0.0025,0.0022,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2021-10-01,Oil,0.01172,0.01204,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2021-11-01,Gas,0.00199,0.00249,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2021-11-01,Oil,0.01298,0.01384,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2021-12-01,Gas,0.00104,0.0008,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2021-12-01,Oil,0.00461,0.00471,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-01-01,Gas,0.00062,0.00172,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-01-01,Oil,0.00943,0.01009,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-02-01,Gas,0.00212,0.00305,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-02-01,Oil,0.01618,0.0163,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-03-01,Gas,0.00143,0.00193,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-03-01,Oil,0.00831,0.0092,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-04-01,Gas,0.00068,0.0,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-04-01,Oil,1e-05,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-06-01,Gas,0.00137,0.00212,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-06-01,Oil,0.0111,0.01142,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-07-01,Gas,0.00065,0.00192,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-07-01,Oil,0.01,0.01022,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-08-01,Gas,0.00025,0.00243,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-08-01,Oil,0.01162,0.01194,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-09-01,Gas,0.0019,0.00254,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-09-01,Oil,0.01002,0.01029,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-10-01,Gas,0.00175,0.00242,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-10-01,Oil,0.00966,0.00989,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-11-01,Gas,0.0015,0.00228,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-11-01,Oil,0.00878,0.00925,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-12-01,Gas,0.00155,0.00182,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2022-12-01,Oil,0.00788,0.00757,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-01-01,Gas,0.00196,0.00178,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-01-01,Oil,0.00853,0.00878,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-02-01,Gas,0.00082,0.00127,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-02-01,Oil,0.00447,0.00469,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-03-01,Gas,0.0006,0.00128,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-03-01,Oil,0.00364,0.00464,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-04-01,Gas,0.00064,0.00162,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-04-01,Oil,0.00357,0.00491,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-05-01,Gas,0.00059,0.00175,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-05-01,Oil,0.0041,0.0053,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-06-01,Gas,0.00135,0.00143,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-06-01,Oil,0.00474,0.00486,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-07-01,Gas,0.00064,0.0,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-07-01,Oil,4e-05,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-08-01,Oil,0.00397,3e-05,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-09-01,Gas,0.00235,0.00138,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-09-01,Oil,0.00848,0.00855,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-10-01,Gas,8e-05,0.0005,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-10-01,Oil,0.00209,0.00207,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-11-01,Gas,0.00123,0.00182,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-11-01,Oil,0.00553,0.00554,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-12-01,Gas,0.00054,6e-05,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2023-12-01,Oil,4e-05,0.00011,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-01-01,Gas,4e-05,0.00066,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-01-01,Oil,0.00362,0.00336,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-02-01,Gas,0.00054,0.00078,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-02-01,Oil,0.00337,0.00325,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-03-01,Gas,0.00103,0.00138,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-03-01,Oil,0.00326,0.00336,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-04-01,Gas,0.00116,0.00092,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-04-01,NGL,0.00065,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-04-01,Oil,0.00313,0.00314,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-05-01,Gas,0.00051,0.00097,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-05-01,NGL,0.00027,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-05-01,Oil,0.00487,0.00493,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-06-01,Gas,0.00018,0.00063,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-06-01,NGL,8e-05,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-06-01,Oil,0.00247,0.00253,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-07-01,Gas,0.00088,0.00134,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-07-01,NGL,0.0005,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-07-01,Oil,0.00485,0.00492,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-08-01,Gas,0.00036,0.00138,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-08-01,NGL,0.00022,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-08-01,Oil,0.00447,0.00451,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-09-01,Gas,0.00015,0.00174,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-09-01,NGL,5e-05,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-09-01,Oil,0.00629,0.00658,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-10-01,Gas,0.00136,0.00097,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-10-01,NGL,0.00093,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-10-01,Oil,0.00354,0.00346,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-11-01,Gas,0.00015,0.0,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-11-01,NGL,8e-05,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-12-01,Gas,0.00021,0.00037,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-12-01,NGL,0.00011,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2024-12-01,Oil,0.00201,0.00214,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-01-01,Gas,0.00089,0.00096,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-01-01,NGL,0.0004,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-01-01,Oil,0.00413,0.00392,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-02-01,Gas,0.00079,0.00075,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-02-01,NGL,0.0005,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-02-01,Oil,0.00303,0.00312,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-03-01,Gas,0.00065,0.00087,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-03-01,NGL,0.00049,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-03-01,Oil,0.00359,0.00365,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-04-01,Gas,0.00065,0.00079,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-04-01,NGL,0.00037,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-04-01,Oil,0.00364,0.00374,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-05-01,Gas,0.00089,0.00095,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-05-01,NGL,0.00055,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-05-01,Oil,0.00368,0.00376,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-06-01,Gas,0.00121,0.0,bill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-06-01,NGL,0.00074,0.0,mill_sm3,,,,,
16/1-12 TROLDHAUGEN,2025-06-01,Oil,0.00434,0.0,mill_sm3,,,,,
33/9-6 DELTA,2009-07-01,Gas,0.0,0.00011,bill_sm3,,,,,
33/9-6 DELTA,2009-07-01,Oil,0.00025,0.0007,mill_sm3,,,,,
33/9-6 DELTA,2009-08-01,Gas,0.0,0.00047,bill_sm3,,,,,
33/9-6 DELTA,2009-08-01,NGL,0.00014,0.0,mill_sm3,,,,,
33/9-6 DELTA,2009-08-01,Oil,0.00325,0.00292,mill_sm3,,,,,
33/9-6 DELTA,2009-09-01,Gas,0.0,0.00054,bill_sm3,,,,,
33/9-6 DELTA,2009-09-01,NGL,0.0001,0.0,mill_sm3,,,,,
33/9-6 DELTA,2009-09-01,Oil,0.00317,0.00338,mill_sm3,,,,,
33/9-6 DELTA,2009-10-01,Gas,0.0,0.0005,bill_sm3,,,,,
33/9-6 DELTA,2009-10-01,NGL,0.00012,0.0,mill_sm3,,,,,
33/9-6 DELTA,2009-10-01,Oil,0.00294,0.00312,mill_sm3,,,,,
33/9-6 DELTA,2009-12-01,Gas,0.0,0.0001,bill_sm3,,,,,
33/9-6 DELTA,2009-12-01,Oil,0.00062,0.00062,mill_sm3,,,,,
33/9-6 DELTA,2010-01-01,Gas,0.0,8e-05,bill_sm3,,,,,
33/9-6 DELTA,2010-01-01,NGL,8e-05,0.0,mill_sm3,,,,,
33/9-6 DELTA,2010-01-01,Oil,0.00298,0.00048,mill_sm3,,,,,
33/9-6 DELTA,2010-02-01,Gas,0.0,0.00043,bill_sm3,,,,,
33/9-6 DELTA,2010-02-01,NGL,0.0001,0.0,mill_sm3,,,,,
33/9-6 DELTA,2010-02-01,Oil,0.0026,0.0027,mill_sm3,,,,,
33/9-6 DELTA,2010-03-01,Gas,0.0,0.00052,bill_sm3,,,,,
33/9-6 DELTA,2010-03-01,NGL,0.00015,0.0,mill_sm3,,,,,
33/9-6 DELTA,2010-03-01,Oil,0.00302,0.00327,mill_sm3,,,,,
33/9-6 DELTA,2010-04-01,Gas,0.0,0.00038,bill_sm3,,,,,
