field,date,product,volume,unit
16/1-12 Troldhaugen,2021-08-01,Oil,0.00653,mill_sm3
16/1-12 Troldhaugen,2021-09-01,Oil,0.02573,mill_sm3
16/1-12 Troldhaugen,2021-10-01,Oil,0.01172,mill_sm3
16/1-12 Troldhaugen,2021-11-01,Oil,0.01298,mill_sm3
16/1-12 Troldhaugen,2021-12-01,Oil,0.00461,mill_sm3
16/1-12 Troldhaugen,2022-01-01,Oil,0.00943,mill_sm3
16/1-12 Troldhaugen,2022-02-01,Oil,0.01618,mill_sm3
16/1-12 Troldhaugen,2022-03-01,Oil,0.00831,mill_sm3
16/1-12 Troldhaugen,2022-04-01,Oil,1e-05,mill_sm3
16/1-12 Troldhaugen,2022-06-01,Oil,0.0111,mill_sm3
16/1-12 Troldhaugen,2022-07-01,Oil,0.01,mill_sm3
16/1-12 Troldhaugen,2022-08-01,Oil,0.01162,mill_sm3
16/1-12 Troldhaugen,2022-09-01,Oil,0.01002,mill_sm3
16/1-12 Troldhaugen,2022-10-01,Oil,0.00966,mill_sm3
16/1-12 Troldhaugen,2022-11-01,Oil,0.00878,mill_sm3
16/1-12 Troldhaugen,2022-12-01,Oil,0.00788,mill_sm3
16/1-12 Troldhaugen,2023-01-01,Oil,0.00853,mill_sm3
16/1-12 Troldhaugen,2023-02-01,Oil,0.00447,mill_sm3
16/1-12 Troldhaugen,2023-03-01,Oil,0.00364,mill_sm3
16/1-12 Troldhaugen,2023-04-01,Oil,0.00357,mill_sm3
16/1-12 Troldhaugen,2023-05-01,Oil,0.0041,mill_sm3
16/1-12 Troldhaugen,2023-06-01,Oil,0.00474,mill_sm3
16/1-12 Troldhaugen,2023-07-01,Oil,4e-05,mill_sm3
16/1-12 Troldhaugen,2023-08-01,Oil,0.00397,mill_sm3
16/1-12 Troldhaugen,2023-09-01,Oil,0.00848,mill_sm3
16/1-12 Troldhaugen,2023-10-01,Oil,0.00209,mill_sm3
16/1-12 Troldhaugen,2023-11-01,Oil,0.00553,mill_sm3
16/1-12 Troldhaugen,2023-12-01,Oil,4e-05,mill_sm3
16/1-12 Troldhaugen,2024-01-01,Oil,0.00362,mill_sm3
16/1-12 Troldhaugen,2024-02-01,Oil,0.00337,mill_sm3
16/1-12 Troldhaugen,2024-03-01,Oil,0.00326,mill_sm3
16/1-12 Troldhaugen,2024-04-01,Oil,0.00313,mill_sm3
16/1-12 Troldhaugen,2024-05-01,Oil,0.00487,mill_sm3
16/1-12 Troldhaugen,2024-06-01,Oil,0.00247,mill_sm3
16/1-12 Troldhaugen,2024-07-01,Oil,0.00485,mill_sm3
16/1-12 Troldhaugen,2024-08-01,Oil,0.00447,mill_sm3
16/1-12 Troldhaugen,2024-09-01,Oil,0.00629,mill_sm3
16/1-12 Troldhaugen,2024-10-01,Oil,0.00354,mill_sm3
