field,date,product,volume,unit
16/1-12 Troldhaugen,2021-09-01,Oil,0.01007,mill_sm3
16/1-12 Troldhaugen,2021-10-01,Oil,0.01204,mill_sm3
16/1-12 Troldhaugen,2021-11-01,Oil,0.01384,mill_sm3
16/1-12 Troldhaugen,2021-12-01,Oil,0.00471,mill_sm3
16/1-12 Troldhaugen,2022-01-01,Oil,0.01009,mill_sm3
16/1-12 Troldhaugen,2022-02-01,Oil,0.0163,mill_sm3
16/1-12 Troldhaugen,2022-03-01,Oil,0.0092,mill_sm3
16/1-12 Troldhaugen,2022-06-01,Oil,0.01142,mill_sm3
16/1-12 Troldhaugen,2022-07-01,Oil,0.01022,mill_sm3
16/1-12 Troldhaugen,2022-08-01,Oil,0.01194,mill_sm3
16/1-12 Troldhaugen,2022-09-01,Oil,0.01029,mill_sm3
16/1-12 Troldhaugen,2022-10-01,Oil,0.00989,mill_sm3
16/1-12 Troldhaugen,2022-11-01,Oil,0.00925,mill_sm3
16/1-12 Troldhaugen,2022-12-01,Oil,0.00757,mill_sm3
16/1-12 Troldhaugen,2023-01-01,Oil,0.00878,mill_sm3
16/1-12 Troldhaugen,2023-02-01,Oil,0.00469,mill_sm3
16/1-12 Troldhaugen,2023-03-01,Oil,0.00464,mill_sm3
16/1-12 Troldhaugen,2023-04-01,Oil,0.00491,mill_sm3
16/1-12 Troldhaugen,2023-05-01,Oil,0.0053,mill_sm3
16/1-12 Troldhaugen,2023-06-01,Oil,0.00486,mill_sm3
16/1-12 Troldhaugen,2023-08-01,Oil,3e-05,mill_sm3
16/1-12 Troldhaugen,2023-09-01,Oil,0.00855,mill_sm3
16/1-12 Troldhaugen,2023-10-01,Oil,0.00207,mill_sm3
16/1-12 Troldhaugen,2023-11-01,Oil,0.00554,mill_sm3
16/1-12 Troldhaugen,2023-12-01,Oil,0.00011,mill_sm3
16/1-12 Troldhaugen,2024-01-01,Oil,0.00336,mill_sm3
16/1-12 Troldhaugen,2024-02-01,Oil,0.00325,mill_sm3
16/1-12 Troldhaugen,2024-03-01,Oil,0.00336,mill_sm3
16/1-12 Troldhaugen,2024-04-01,Oil,0.00314,mill_sm3
16/1-12 Troldhaugen,2024-05-01,Oil,0.00493,mill_sm3
16/1-12 Troldhaugen,2024-06-01,Oil,0.00253,mill_sm3
16/1-12 Troldhaugen,2024-07-01,Oil,0.00492,mill_sm3
16/1-12 Troldhaugen,2024-08-01,Oil,0.00451,mill_sm3
16/1-12 Troldhaugen,2024-09-01,Oil,0.00658,mill_sm3
16/1-12 Troldhaugen,2024-10-01,Oil,0.00346,mill_sm3
16/1-12 Troldhaugen,2024-12-01,Oil,0.00214,mill_sm3
16/1-12 Troldhaugen,2025-01-01,Oil,0.00392,mill_sm3
16/1-12 Troldhaugen,2025-02-01,Oil,0.00312,mill_sm3
16/1-12 Troldhaugen,2025-03-01,Oil,0.00365,mill_sm3
16/1-12 Troldhaugen,2025-04-01,Oil,0.00374,mill_sm3
16/1-12 Troldhaugen,2025-05-01,Oil,0.00376,mill_sm3
33/9-6 DELTA,2009-07-01,Oil,0.0007,mill_sm3
33/9-6 DELTA,2009-08-01,Oil,0.00292,mill_sm3
33/9-6 DELTA,2009-09-01,Oil,0.00338,mill_sm3
33/9-6 DELTA,2009-10-01,Oil,0.00312,mill_sm3
33/9-6 DELTA,2009-12-01,Oil,0.00062,mill_sm3
33/9-6 DELTA,2010-01-01,Oil,0.00048,mill_sm3
33/9-6 DELTA,2010-02-01,Oil,0.0027,mill_sm3
33/9-6 DELTA,2010-03-01,Oil,0.00327,mill_sm3
33/9-6 DELTA,2010-04-01,Oil,0.00238,mill_sm3
33/9-6 DELTA,2010-05-01,Oil,0.00313,mill_sm3
33/9-6 DELTA,2010-06-01,Oil,0.00193,mill_sm3
33/9-6 DELTA,2010-07-01,Oil,0.00287,mill_sm3
33/9-6 DELTA,2010-08-01,Oil,0.00237,mill_sm3
33/9-6 DELTA,2010-12-01,Oil,0.00045,mill_sm3
